distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
0.1,250,152,104,72,118,104
0.2,250,152,104,72,118,104
0.3,250,152,104,72,118,104
0.4,250,152,104,72,118,104
0.5,250,152,104,72,118,104
0.6,250,152,104,72,118,104
0.7,250,152,104,72,118,104
0.8,250,152,104,72,118,104
0.9,250,152,104,72,118,104
1.0,250,152,104,72,118,104
1.1,250,152,104,72,118,104
1.2,250,152,104,72,118,104
1.3,250,152,104,72,118,104
1.4,250,152,104,72,118,104
1.5,250,152,104,72,118,104
1.6,250,152,104,72,118,104
1.7,250,152,104,72,118,104
1.8,250,152,104,72,118,104
1.9,250,152,104,72,118,104
2.0,250,152,104,72,118,104
2.1,250,152,104,72,118,104
2.2,250,152,104,72,118,104
2.3,250,152,104,72,118,104
2.4,250,152,104,72,118,104
2.5,250,152,104,72,118,104
2.6,250,152,104,72,118,104
2.7,250,152,104,72,118,104
2.8,250,152,104,72,118,104
2.9,250,152,104,72,118,104
3.0,250,152,104,72,118,104
3.1,250,152,104,72,118,104
3.2,250,152,104,72,118,104
3.3,250,162,111,77,126,111
3.4,250,162,111,77,126,111
3.5,250,162,111,77,126,111
3.6,250,162,111,77,126,111
3.7,250,162,111,77,126,111
3.8,250,162,111,77,126,111
3.9,250,162,111,77,126,111
4.0,250,162,111,77,126,111
4.1,250,162,111,77,126,111
4.2,250,162,111,77,126,111
4.3,250,172,118,82,134,118
4.4,250,172,118,82,134,118
4.5,250,172,118,82,134,118
4.6,250,172,118,82,134,118
4.7,250,172,118,82,134,118
4.8,250,172,118,82,134,118
4.9,250,172,118,82,134,118
5.0,250,172,118,82,134,118
5.1,250,172,118,82,134,118
5.2,250,172,118,82,134,118
5.3,250,182,125,87,142,125
5.4,250,182,125,87,142,125
5.5,250,182,125,87,142,125
5.6,250,182,125,87,142,125
5.7,250,182,125,87,142,125
5.8,250,182,125,87,142,125
5.9,250,182,125,87,142,125
6.0,250,182,125,87,142,125
6.1,250,182,125,87,142,125
6.2,250,182,125,87,142,125
6.3,250,191,131,90,149,131
6.4,250,191,131,90,149,131
6.5,250,191,131,90,149,131
6.6,250,191,131,90,149,131
6.7,250,191,131,90,149,131
6.8,250,191,131,90,149,131
6.9,250,191,131,90,149,131
7.0,250,191,131,90,149,131
7.1,250,191,131,90,149,131
7.2,250,191,131,90,149,131
7.3,250,198,137,93,155,137
7.4,250,198,137,93,155,137
7.5,250,198,137,93,155,137
7.6,250,198,137,93,155,137
7.7,250,198,137,93,155,137
7.8,250,198,137,93,155,137
7.9,250,198,137,93,155,137
8.0,250,198,137,93,155,137
8.1,250,198,137,93,155,137
8.2,250,198,137,93,155,137
8.3,265,204,137,93,161,137
8.4,265,204,137,93,161,137
8.5,265,204,137,93,161,137
8.6,265,204,137,93,161,137
8.7,265,204,137,93,161,137
8.8,265,204,137,93,161,137
8.9,265,204,137,93,161,137
9.0,265,204,137,93,161,137
9.1,265,204,137,93,161,137
9.2,265,204,137,93,161,137
9.3,265,208,137,93,164,137
9.4,265,208,137,93,164,137
9.5,265,208,137,93,164,137
9.6,265,208,137,93,164,137
9.7,265,208,137,93,164,137
9.8,265,208,137,93,164,137
9.9,265,208,137,93,164,137
10.0,265,208,137,93,164,137
10.1,265,208,137,93,164,137
10.2,265,208,137,93,164,137
10.3,265,212,137,93,167,137
10.4,265,212,137,93,167,137
10.5,265,212,137,93,167,137
10.6,265,212,137,93,167,137
10.7,265,212,137,93,167,137
10.8,265,212,137,93,167,137
10.9,265,212,137,93,167,137
11.0,265,212,137,93,167,137
11.1,265,212,137,93,167,137
11.2,265,212,137,93,167,137
11.3,280,216,137,93,170,137
11.4,280,216,137,93,170,137
11.5,280,216,137,93,170,137
11.6,280,216,137,93,170,137
11.7,280,216,137,93,170,137
11.8,280,216,137,93,170,137
11.9,280,216,137,93,170,137
12.0,280,216,137,93,170,137
12.1,280,216,137,93,170,137
12.2,280,216,137,93,170,137
12.3,280,220,137,93,173,137
12.4,280,220,137,93,173,137
12.5,280,220,137,93,173,137
12.6,280,220,137,93,173,137
12.7,280,220,137,93,173,137
12.8,280,220,137,93,173,137
12.9,280,220,137,93,173,137
13.0,280,220,137,93,173,137
13.1,280,220,137,93,173,137
13.2,280,220,137,93,173,137
13.3,280,224,137,93,176,137
13.4,280,224,137,93,176,137
13.5,280,224,137,93,176,137
13.6,280,224,137,93,176,137
13.7,280,224,137,93,176,137
13.8,280,224,137,93,176,137
13.9,280,224,137,93,176,137
14.0,280,224,137,93,176,137
14.1,280,224,137,93,176,137
14.2,280,224,137,93,176,137
14.3,280,228,137,93,179,137
14.4,280,228,137,93,179,137
14.5,280,228,137,93,179,137
14.6,280,228,137,93,179,137
14.7,280,228,137,93,179,137
14.8,280,228,137,93,179,137
14.9,280,228,137,93,179,137
15.0,280,228,137,93,179,137
15.1,280,228,137,93,179,137
15.2,280,228,137,93,179,137
15.3,295,232,137,93,182,137
15.4,295,232,137,93,182,137
15.5,295,232,137,93,182,137
15.6,295,232,137,93,182,137
15.7,295,232,137,93,182,137
15.8,295,232,137,93,182,137
15.9,295,232,137,93,182,137
16.0,295,232,137,93,182,137
16.1,295,232,137,93,182,137
16.2,295,232,137,93,182,137
16.3,295,236,137,93,185,137
16.4,295,236,137,93,185,137
16.5,295,236,137,93,185,137
16.6,295,236,137,93,185,137
16.7,295,236,137,93,185,137
16.8,295,236,137,93,185,137
16.9,295,236,137,93,185,137
17.0,295,236,137,93,185,137
17.1,295,236,137,93,185,137
17.2,295,236,137,93,185,137
17.3,295,240,137,93,188,137
17.4,295,240,137,93,188,137
17.5,295,240,137,93,188,137
17.6,295,240,137,93,188,137
17.7,295,240,137,93,188,137
17.8,295,240,137,93,188,137
17.9,295,240,137,93,188,137
18.0,295,240,137,93,188,137
18.1,295,240,137,93,188,137
18.2,295,240,137,93,188,137
18.3,295,244,137,93,191,137
18.4,295,244,137,93,191,137
18.5,295,244,137,93,191,137
18.6,295,244,137,93,191,137
18.7,295,244,137,93,191,137
18.8,295,244,137,93,191,137
18.9,295,244,137,93,191,137
