distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
0.1,92,170,59,120,42,85,68,170,59,120
0.2,92,170,59,120,42,85,68,170,59,120
0.3,92,170,59,120,42,85,68,170,59,120
0.4,92,170,59,120,42,85,68,170,59,120
0.5,92,170,59,120,42,85,68,170,59,120
0.6,92,170,59,120,42,85,68,170,59,120
0.7,92,170,59,120,42,85,68,170,59,120
0.8,92,170,59,120,42,85,68,170,59,120
0.9,92,170,59,120,42,85,68,170,59,120
1.0,92,170,59,120,42,85,68,170,59,120
1.1,92,170,59,120,42,85,68,170,59,120
1.2,92,170,59,120,42,85,68,170,59,120
1.3,92,170,59,120,42,85,68,170,59,120
1.4,92,170,59,120,42,85,68,170,59,120
1.5,92,170,59,120,42,85,68,170,59,120
1.6,92,170,59,120,42,85,68,170,59,120
1.7,92,170,59,120,42,85,68,170,59,120
1.8,92,170,59,120,42,85,68,170,59,120
1.9,92,170,59,120,42,85,68,170,59,120
2.0,92,170,59,120,42,85,68,170,59,120
2.1,92,170,59,120,42,85,68,170,59,120
2.2,92,170,59,120,42,85,68,170,59,120
2.3,92,170,59,120,42,85,68,170,59,120
2.4,92,170,59,120,42,85,68,170,59,120
2.5,92,170,59,120,42,85,68,170,59,120
2.6,92,170,59,120,42,85,68,170,59,120
2.7,92,170,59,120,42,85,68,170,59,120
2.8,92,170,59,120,42,85,68,170,59,120
2.9,92,170,59,120,42,85,68,170,59,120
3.0,92,170,59,120,42,85,68,170,59,120
3.1,92,170,59,120,42,85,68,170,59,120
3.2,92,170,59,120,42,85,68,170,59,120
3.3,102,190,66,120,47,85,76,190,66,120
3.4,102,190,66,120,47,85,76,190,66,120
3.5,102,190,66,120,47,85,76,190,66,120
3.6,102,190,66,120,47,85,76,190,66,120
3.7,102,190,66,120,47,85,76,190,66,120
3.8,102,190,66,120,47,85,76,190,66,120
3.9,102,190,66,120,47,85,76,190,66,120
4.0,102,190,66,120,47,85,76,190,66,120
4.1,102,190,66,120,47,85,76,190,66,120
4.2,102,190,66,120,47,85,76,190,66,120
4.3,112,190,73,120,52,85,84,190,73,120
4.4,112,190,73,120,52,85,84,190,73,120
4.5,112,190,73,120,52,85,84,190,73,120
4.6,112,190,73,120,52,85,84,190,73,120
4.7,112,190,73,120,52,85,84,190,73,120
4.8,112,190,73,120,52,85,84,190,73,120
4.9,112,190,73,120,52,85,84,190,73,120
5.0,112,190,73,120,52,85,84,190,73,120
5.1,112,190,73,120,52,85,84,190,73,120
5.2,112,190,73,120,52,85,84,190,73,120
5.3,122,190,80,120,57,85,92,190,80,120
5.4,122,190,80,120,57,85,92,190,80,120
5.5,122,190,80,120,57,85,92,190,80,120
5.6,122,190,80,120,57,85,92,190,80,120
5.7,122,190,80,120,57,85,92,190,80,120
5.8,122,190,80,120,57,85,92,190,80,120
5.9,122,190,80,120,57,85,92,190,80,120
6.0,122,190,80,120,57,85,92,190,80,120
6.1,122,190,80,120,57,85,92,190,80,120
6.2,122,190,80,120,57,85,92,190,80,120
6.3,131,210,86,150,60,105,99,210,86,150
6.4,131,210,86,150,60,105,99,210,86,150
6.5,131,210,86,150,60,105,99,210,86,150
6.6,131,210,86,150,60,105,99,210,86,150
6.7,131,210,86,150,60,105,99,210,86,150
6.8,131,210,86,150,60,105,99,210,86,150
6.9,131,210,86,150,60,105,99,210,86,150
7.0,131,210,86,150,60,105,99,210,86,150
7.1,131,210,86,150,60,105,99,210,86,150
7.2,131,210,86,150,60,105,99,210,86,150
7.3,138,210,92,150,63,105,105,210,92,150
7.4,138,210,92,150,63,105,105,210,92,150
7.5,138,210,92,150,63,105,105,210,92,150
7.6,138,210,92,150,63,105,105,210,92,150
7.7,138,210,92,150,63,105,105,210,92,150
7.8,138,210,92,150,63,105,105,210,92,150
7.9,138,210,92,150,63,105,105,210,92,150
8.0,138,210,92,150,63,105,105,210,92,150
8.1,138,210,92,150,63,105,105,210,92,150
8.2,138,210,92,150,63,105,105,210,92,150
8.3,144,210,92,150,63,105,111,210,92,150
8.4,144,210,92,150,63,105,111,210,92,150
8.5,144,210,92,150,63,105,111,210,92,150
8.6,144,210,92,150,63,105,111,210,92,150
8.7,144,210,92,150,63,105,111,210,92,150
8.8,144,210,92,150,63,105,111,210,92,150
8.9,144,210,92,150,63,105,111,210,92,150
9.0,144,210,92,150,63,105,111,210,92,150
9.1,144,210,92,150,63,105,111,210,92,150
9.2,144,210,92,150,63,105,111,210,92,150
9.3,148,230,92,150,63,105,114,230,92,150
9.4,148,230,92,150,63,105,114,230,92,150
9.5,148,230,92,150,63,105,114,230,92,150
9.6,148,230,92,150,63,105,114,230,92,150
9.7,148,230,92,150,63,105,114,230,92,150
9.8,148,230,92,150,63,105,114,230,92,150
9.9,148,230,92,150,63,105,114,230,92,150
10.0,148,230,92,150,63,105,114,230,92,150
10.1,148,230,92,150,63,105,114,230,92,150
10.2,148,230,92,150,63,105,114,230,92,150
10.3,152,230,92,150,63,105,117,230,92,150
10.4,152,230,92,150,63,105,117,230,92,150
10.5,152,230,92,150,63,105,117,230,92,150
10.6,152,230,92,150,63,105,117,230,92,150
10.7,152,230,92,150,63,105,117,230,92,150
10.8,152,230,92,150,63,105,117,230,92,150
10.9,152,230,92,150,63,105,117,230,92,150
11.0,152,230,92,150,63,105,117,230,92,150
11.1,152,230,92,150,63,105,117,230,92,150
11.2,152,230,92,150,63,105,117,230,92,150
11.3,156,250,92,150,63,105,120,250,92,150
11.4,156,250,92,150,63,105,120,250,92,150
11.5,156,250,92,150,63,105,120,250,92,150
